Year,Subject,Country,Score,Rank
2006,Reading,Thailand,417.0,40.0
2006,Reading,Trinidad and Tobago,,
2006,Reading,Tunisia,380.0,50.0
2006,Reading,Turkey,447.0,36.0
2006,Reading,United Arab Emirates,,
2006,Reading,United Kingdom,495.0,16.0
2006,Reading,United States,,
2006,Reading,Uruguay,413.0,41.0
2006,Reading,Vietnam,,
2009,Reading,Albania,385.0,55.0
2009,Reading,Algeria,,
2009,Reading,Argentina,,
2009,Reading,Australia,515.0,8.0
2009,Reading,Austria,470.0,37.0
2009,Reading,China B-S-J-G,,
2009,Reading,Belgium,506.0,10.0
2009,Reading,Brazil,412.0,49.0
2009,Reading,Bulgaria,429.0,42.0
2009,Reading,Argentina CABA,,
2009,Reading,Canada,524.0,5.0
2009,Reading,Chile,449.0,41.0
2009,Reading,Taiwan,495.0,21.0
2009,Reading,Colombia,413.0,48.0
2009,Reading,Costa Rica,,
2009,Reading,Croatia,476.0,34.0
2009,Reading,Cyprus,,
2009,Reading,Czech Republic,478.0,32.0
2009,Reading,Denmark,495.0,22.0
2009,Reading,Dominican Republic,,
2009,Reading,Estonia,501.0,12.0
2009,Reading,Finland,536.0,2.0
2009,Reading,France,496.0,20.0
2009,Reading,Macedonia,,
2009,Reading,Georgia,,
2009,Reading,Germany,497.0,18.0
2009,Reading,Greece,483.0,30.0
2009,Reading,Hong Kong,533.0,3.0
2009,Reading,Hungary,494.0,24.0
2009,Reading,Iceland,500.0,15.0
2009,Reading,Indonesia,402.0,53.0
2009,Reading,Ireland,496.0,19.0
2009,Reading,Israel,474.0,35.0
2009,Reading,Italy,486.0,27.0
2009,Reading,Japan,520.0,7.0
2009,Reading,Jordan,405.0,51.0
2009,Reading,Kazakhstan,390.0,54.0
2009,Reading,South Korea,539.0,1.0
2009,Reading,Kosovo,,
2009,Reading,Latvia,484.0,28.0
2009,Reading,Lebanon,,
2009,Reading,Lithuania,468.0,38.0
2009,Reading,Luxembourg,472.0,36.0
2009,Reading,Macau,487.0,26.0
2009,Reading,Malaysia,,
2009,Reading,Malta,,
2009,Reading,Mexico,425.0,44.0
2009,Reading,Moldova,,
2009,Reading,Montenegro,408.0,50.0
2009,Reading,Netherlands,508.0,9.0
2009,Reading,New Zealand,521.0,6.0
2009,Reading,Norway,503.0,11.0
2009,Reading,Peru,370.0,57.0
2009,Reading,Poland,500.0,14.0
2009,Reading,Portugal,489.0,25.0
2009,Reading,Qatar,372.0,56.0
2009,Reading,Romania,424.0,45.0
2009,Reading,Russia,459.0,40.0
2009,Reading,Singapore,526.0,4.0
2009,Reading,Slovakia,477.0,33.0
2009,Reading,Slovenia,483.0,29.0
2009,Reading,Spain,481.0,31.0
2009,Reading,Sweden,497.0,17.0
2009,Reading,Switzerland,501.0,13.0
2009,Reading,Thailand,421.0,46.0
2009,Reading,Trinidad and Tobago,416.0,47.0
2009,Reading,Tunisia,404.0,52.0
2009,Reading,Turkey,464.0,39.0
2009,Reading,United Arab Emirates,,
2009,Reading,United Kingdom,494.0,23.0
2009,Reading,United States,500.0,16.0
2009,Reading,Uruguay,426.0,43.0
2009,Reading,Vietnam,,
2012,Reading,Albania,394.0,58.0
2012,Reading,Algeria,,
2012,Reading,Argentina,,
2012,Reading,Australia,512.0,12.0
2012,Reading,Austria,490.0,26.0
2012,Reading,China B-S-J-G,,
2012,Reading,Belgium,509.0,16.0
2012,Reading,Brazil,407.0,52.0
2012,Reading,Bulgaria,436.0,47.0
2012,Reading,Argentina CABA,429.0,48.0
2012,Reading,Canada,523.0,7.0
2012,Reading,Chile,441.0,43.0
2012,Reading,Taiwan,523.0,8.0
2012,Reading,Colombia,403.0,54.0
2012,Reading,Costa Rica,441.0,45.0
2012,Reading,Croatia,485.0,33.0
2012,Reading,Cyprus,,
2012,Reading,Czech Republic,493.0,24.0
2012,Reading,Denmark,496.0,23.0
2012,Reading,Dominican Republic,,
2012,Reading,Estonia,516.0,10.0
2012,Reading,Finland,524.0,5.0
2012,Reading,France,505.0,19.0
2012,Reading,Macedonia,,
2012,Reading,Georgia,,
2012,Reading,Germany,508.0,18.0
2012,Reading,Greece,477.0,38.0
2012,Reading,Hong Kong,545.0,1.0
2012,Reading,Hungary,488.0,28.0
2012,Reading,Iceland,483.0,35.0
2012,Reading,Indonesia,396.0,57.0
2012,Reading,Ireland,523.0,6.0
2012,Reading,Israel,486.0,32.0
2012,Reading,Italy,490.0,25.0
2012,Reading,Japan,538.0,3.0
2012,Reading,Jordan,399.0,55.0
2012,Reading,Kazakhstan,393.0,59.0
2012,Reading,South Korea,536.0,4.0
2012,Reading,Kosovo,,
2012,Reading,Latvia,489.0,27.0
2012,Reading,Lebanon,,
2012,Reading,Lithuania,477.0,37.0
2012,Reading,Luxembourg,488.0,30.0
2012,Reading,Macau,509.0,15.0
2012,Reading,Malaysia,398.0,56.0
2012,Reading,Malta,,
2012,Reading,Mexico,424.0,49.0
2012,Reading,Moldova,,
2012,Reading,Montenegro,422.0,50.0
2012,Reading,Netherlands,511.0,13.0
2012,Reading,New Zealand,512.0,11.0
2012,Reading,Norway,504.0,20.0
2012,Reading,Peru,384.0,61.0
2012,Reading,Poland,518.0,9.0
2012,Reading,Portugal,488.0,31.0
2012,Reading,Qatar,388.0,60.0
2012,Reading,Romania,438.0,46.0
2012,Reading,Russia,475.0,40.0
2012,Reading,Singapore,542.0,2.0
2012,Reading,Slovakia,463.0,41.0
2012,Reading,Slovenia,481.0,36.0
2012,Reading,Spain,488.0,29.0
2012,Reading,Sweden,483.0,34.0
2012,Reading,Switzerland,509.0,14.0
2012,Reading,Thailand,441.0,44.0
2012,Reading,Trinidad and Tobago,,
2012,Reading,Tunisia,404.0,53.0
2012,Reading,Turkey,475.0,39.0
2012,Reading,United Arab Emirates,442.0,42.0
2012,Reading,United Kingdom,499.0,21.0
2012,Reading,United States,498.0,22.0
2012,Reading,Uruguay,411.0,51.0
2012,Reading,Vietnam,508.0,17.0
2015,Reading,Albania,405.0,63.0
2015,Reading,Algeria,350.0,71.0
2015,Reading,Argentina,425.0,56.0
2015,Reading,Australia,503.0,16.0
2015,Reading,Austria,485.0,33.0
2015,Reading,China B-S-J-G,494.0,27.0
2015,Reading,Belgium,499.0,20.0
2015,Reading,Brazil,407.0,62.0
2015,Reading,Bulgaria,432.0,49.0
2015,Reading,Argentina CABA,475.0,38.0
2015,Reading,Canada,527.0,3.0
2015,Reading,Chile,459.0,42.0
2015,Reading,Taiwan,497.0,23.0
2015,Reading,Colombia,425.0,57.0
2015,Reading,Costa Rica,427.0,52.0
2015,Reading,Croatia,487.0,31.0
2015,Reading,Cyprus,443.0,45.0
2015,Reading,Czech Republic,487.0,30.0
2015,Reading,Denmark,500.0,18.0
2015,Reading,Dominican Republic,358.0,69.0
2015,Reading,Estonia,519.0,6.0
2015,Reading,Finland,526.0,4.0
2015,Reading,France,499.0,19.0
2015,Reading,Macedonia,352.0,70.0
2015,Reading,Georgia,401.0,65.0
2015,Reading,Germany,509.0,11.0
2015,Reading,Greece,467.0,41.0
2015,Reading,Hong Kong,527.0,2.0
2015,Reading,Hungary,470.0,40.0
2015,Reading,Iceland,482.0,35.0
2015,Reading,Indonesia,397.0,67.0
2015,Reading,Ireland,521.0,5.0
2015,Reading,Israel,479.0,37.0
2015,Reading,Italy,485.0,34.0
2015,Reading,Japan,516.0,8.0
2015,Reading,Jordan,408.0,61.0
2015,Reading,Kazakhstan,427.0,54.0
2015,Reading,South Korea,517.0,7.0
2015,Reading,Kosovo,347.0,72.0
2015,Reading,Latvia,488.0,29.0
2015,Reading,Lebanon,347.0,73.0
2015,Reading,Lithuania,472.0,39.0
2015,Reading,Luxembourg,481.0,36.0
2015,Reading,Macau,509.0,12.0
2015,Reading,Malaysia,431.0,50.0
2015,Reading,Malta,447.0,44.0
2015,Reading,Mexico,423.0,58.0
2015,Reading,Moldova,416.0,59.0
2015,Reading,Montenegro,427.0,55.0
2015,Reading,Netherlands,503.0,15.0
2015,Reading,New Zealand,509.0,10.0
2015,Reading,Norway,513.0,9.0
2015,Reading,Peru,398.0,66.0
2015,Reading,Poland,506.0,13.0
2015,Reading,Portugal,498.0,21.0
2015,Reading,Qatar,402.0,64.0
2015,Reading,Romania,434.0,47.0
2015,Reading,Russia,495.0,26.0
2015,Reading,Singapore,535.0,1.0
2015,Reading,Slovakia,453.0,43.0
2015,Reading,Slovenia,505.0,14.0
2015,Reading,Spain,496.0,25.0
2015,Reading,Sweden,500.0,17.0
2015,Reading,Switzerland,492.0,28.0
2015,Reading,Thailand,409.0,60.0
2015,Reading,Trinidad and Tobago,427.0,53.0
2015,Reading,Tunisia,361.0,68.0
2015,Reading,Turkey,428.0,51.0
2015,Reading,United Arab Emirates,434.0,48.0
2015,Reading,United Kingdom,498.0,22.0
2015,Reading,United States,497.0,24.0
2015,Reading,Uruguay,437.0,46.0
2015,Reading,Vietnam,487.0,32.0
2018,Maths,China (B-S-J-Z),591.0,1.0
2018,Maths,Singapore,569.0,2.0
2018,Maths,Macau(China),558.0,3.0
2018,Maths,Hong Kong (China),551.0,4.0
2018,Maths,Taiwan,531.0,5.0
2018,Maths,Japan,527.0,6.0
2018,Maths,South Korea,526.0,7.0
2018,Maths,Estonia,523.0,8.0
2018,Maths,Netherlands,519.0,9.0
2018,Maths,Poland,516.0,10.0
2018,Maths,Switzerland,515.0,11.0
2018,Maths,Canada,512.0,12.0
2018,Maths,Denmark,509.0,13.0
2018,Maths,Slovenia,509.0,13.0
2018,Maths,Belgium,508.0,15.0
2018,Maths,Finland,507.0,16.0
2018,Maths,Sweden,502.0,17.0
2018,Maths,United Kingdom,502.0,17.0
2018,Maths,Norway,501.0,19.0
2018,Maths,Germany,500.0,20.0
2018,Maths,Ireland,500.0,20.0
2018,Maths,Czech Republic,499.0,22.0
2018,Maths,Austria,499.0,22.0
2018,Maths,Latvia,496.0,24.0
2018,Maths,Vietnam,496.0,24.0
2018,Maths,France,495.0,26.0
2018,Maths,Iceland,495.0,26.0
2018,Maths,New Zealand,494.0,28.0
2018,Maths,Portugal,492.0,29.0
2018,Maths,Australia,491.0,30.0
2018,Maths,Russia,488.0,31.0
2018,Maths,Italy,487.0,32.0
2018,Maths,Slovakia,486.0,33.0
2018,Maths,Luxembourg,483.0,34.0
2018,Maths,Lithuania,481.0,35.0
2018,Maths,Spain,481.0,35.0
2018,Maths,Hungary,481.0,35.0
2018,Maths,United States,478.0,38.0
2018,Maths,Belarus,472.0,39.0
2018,Maths,Malta,472.0,39.0
2018,Maths,Croatia,464.0,41.0
2018,Maths,Israel,463.0,42.0
2018,Maths,Turkey,454.0,43.0
2018,Maths,Ukraine,453.0,44.0
2018,Maths,Cyprus,451.0,45.0
2018,Maths,Greece,451.0,45.0
2018,Maths,Serbia,448.0,47.0
2018,Maths,Malaysia,440.0,48.0
2018,Maths,Albania,437.0,49.0
2018,Maths,Bulgaria,436.0,50.0
2018,Maths,United Arab Emirates,435.0,51.0
2018,Maths,Brunei,430.0,52.0
2018,Maths,Montenegro,430.0,52.0
2018,Maths,Romania,430.0,52.0
2018,Maths,Kazakhstan,423.0,55.0
2018,Maths,Moldova,421.0,56.0
2018,Maths,Azerbaijan,420.0,57.0
2018,Maths,Thailand,419.0,58.0
2018,Maths,Uruguay,418.0,59.0
2018,Maths,Chile,417.0,60.0
2018,Maths,Qatar,414.0,61.0
2018,Maths,Mexico,409.0,62.0
2018,Maths,Bosnia and Herzegovina,406.0,63.0
2018,Maths,Costa Rica,402.0,64.0
2018,Maths,Jordan,400.0,65.0
2018,Maths,Peru,400.0,65.0
2018,Maths,Georgia,398.0,67.0
2018,Maths,North Macedonia,394.0,68.0
2018,Maths,Lebanon,393.0,69.0
2018,Maths,Colombia,391.0,70.0
2018,Maths,Brazil,384.0,71.0
2018,Maths,Argentina,379.0,72.0
