Year,Subject,Country,Score,Rank
2009,Maths,Bulgaria,428.0,41.0
2009,Maths,Argentina CABA,,
2009,Maths,Canada,527.0,8.0
2009,Maths,Chile,421.0,44.0
2009,Maths,Taiwan,543.0,4.0
2009,Maths,Colombia,381.0,52.0
2009,Maths,Costa Rica,,
2009,Maths,Croatia,460.0,38.0
2009,Maths,Cyprus,,
2009,Maths,Czech Republic,493.0,25.0
2009,Maths,Denmark,503.0,17.0
2009,Maths,Dominican Republic,,
2009,Maths,Estonia,512.0,15.0
2009,Maths,Finland,541.0,5.0
2009,Maths,France,497.0,20.0
2009,Maths,Macedonia,,
2009,Maths,Georgia,,
2009,Maths,Germany,513.0,14.0
2009,Maths,Greece,466.0,37.0
2009,Maths,Hong Kong,555.0,2.0
2009,Maths,Hungary,490.0,27.0
2009,Maths,Iceland,507.0,16.0
2009,Maths,Indonesia,371.0,55.0
2009,Maths,Ireland,487.0,30.0
2009,Maths,Israel,447.0,39.0
2009,Maths,Italy,483.0,33.0
2009,Maths,Japan,529.0,7.0
2009,Maths,Jordan,387.0,50.0
